,sentimen,tahun,tweet
0,Netral,2018,pendaftaran pengumuman hasil seleksi ppdb online sma smk dki jakarta
1,Netral,2018,come and join us ppdb smk telekomunikasi jakarta smk telekomunikasi jakarta sekolah keren menerapkan budaya redi ccp character content process berbasis gitu olah raga
2,Netral,2018,informasi pendaftaran ppdb smk telekomunikasi jakarta ta keterangan silahkan hubungi petugas ppdb nomor nomor prosedur pendaftaran akses manual
3,Netral,2018,radar bogor catat rekomendasi ombudsman pelaksanaan ppdb jakarta radar bogor
4,Positif,2018,hii doain keterima ppdb sman jakarta amin semoga
5,Negatif,2018,radar bogor sistem zonasi ppdb pemerataan pendidikan jakarta radar bogor anggapan sek
6,Netral,2018,ombudsman republik indonesia hasil pemantauan ppdb sekretaris jenderal pejabat kantor ombudsman jakarta
7,Netral,2018,ombudsman republik indonesia perwakilan jakarta raya menemukan praktik penerimaan siswa ppdb online titipan pejabat
8,Netral,2018,lulus ppdb online siswa bekasi lulus ppdb online siswa bekasi dinas pendidikan akomodir siswa gagal ppdb online tribun jakarta diperiksa ombudsman
9,Positif,2018,dinas pendidikan akomodir siswa gagal ppdb online dinas pendidikan akomodir siswa gagal ppdb online tribun jakarta diperiksa ombudsman republik indonesia dinas pendidikan jawa barat akui siswa titipan warta kota lulus ppdb online
10,Negatif,2018,aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb batal
11,Negatif,2018,batal aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb
12,Negatif,2018,beja terkini bewara aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb batal thanks click thanks click
13,Negatif,2018,aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb batal
14,Negatif,2018,aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb batal pendidikan demo ade bayu indra pr orang tua calon siswa tergabung forum masyarakat peduli pendidikan jawa barat aksi unjuk gedung sate jalan
15,Negatif,2018,aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb batal pendidikan demo ade bayu indra pr orang tua calon siswa tergabung forum masyarakat peduli pendidikan jawa barat aksi unjuk gedung sate jalan
16,Negatif,2018,aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb batal
17,Negatif,2018,aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb batal
18,Negatif,2018,aksi orangtua jalan kaki bandung jakarta protes sistem zonasi ppdb batal
19,Negatif,2018,siswa miskin bekasi gagal ppdb diarahkan sekolah siswa miskin bekasi gagal ppdb diarahkan sekolah dinas pendidikan sisir pelajar gagal seleksi ppdb tribun jakarta siswa
20,Negatif,2018,siswa miskin bekasi gagal ppdb diarahkan sekolah siswa miskin bekasi gagal ppdb diarahkan sekolah dinas pendidikan sisir pelajar gagal seleksi ppdb tribun jakarta siswa
