sentimen;tahun;text
Netral;2018;''info PPDB dapat menghubungi telp (hunting) 021-8400387 Ext : TK 114, SD  115/116, SMP 118, SMA 124, SMK 1 127 dan SMK 2 131 #pendidikan #pendidikanislam #siswabaru #Jakarta #islamicschool #SDN @pbsoedirman24 @yisc_alazhar @GlobalIslamic @Kemdikbud_RI'
Netral;2018;''PPDB SDN 2019 DKI Jakarta Tidak Perlu Sertakan KIA #PPDB #Disdik #KIA https://t.co/YuLLszSZzC'
Netral;2018;''Informasi PPDB 2019/2020 SDS Regina Pacis Jakarta\n#recisjakarta https://t.co/q7xTwZi45U'
Netral;2018;''PPDB SMK Telkom Jakarta\n\nPenerimaan Peserta Didik Baru \nTA 2019-2020 telah dibuka. \n\nInfo lanjut :\nhttps://t.co/mwOHOhqH8p\nWA.  08111-44-2600 @ Smk telkom school jakarta https://t.co/snUFXGSg1m'
Netral;2018;''Ombudsman Perwakilan Jakarta Raya menemukan berbagai dugaan pelanggaran dan maladministrasi dalam penerimaan peserta didik baru (PPDB) Online 2018 di Bogor, Depok, dan Bekasi.\n\nhttps://t.co/ueTZOYiAQf'
Netral;2018;'Info pendaftaran PPDB SMK Telkom Jakarta TA 2019-2020\n\nUntuk keterangan lebih lanjut, silahkan hubungi petugas PPDB kami di nomor 08-111-44-2600 atau nomor 021-544 2600\n\nProsedur https://t.co/sIpJqHaNPH'
Positif;2018;'Radar Bogor : Sleman Apresiasi PPDB dengan Sistem Zonasi JAKARTA-RADAR BOGOR, Meski sempat men  https://t.co/8COwH0l6u9'
Positif;2018;''Semua dilayani denga baik di Posko PPDB Online DKI Jakarta https://t.co/L3A2efBbTh \nMimin memantau proses pelayanan di posko https://t.co/Y4DhCp0mhc'
Positif;2018;''mimin memantau kunjungan Gubernur DKI jakarta  di Posko PPDB Online DKI jakarta, Alhamdulillah PPDB DKI jakarta tahun ini berjalan Lancar, aman terkendali \nhttps://t.co/L3A2efBbTh @Disdik_DKI https://t.co/Q40d9gWlsS'
Positif;2018;''Alhamdulillah PPDB SMA Negeri tahap pertama selesai dan Yartika diterima di SMA Negeri 46 Jakarta.'
Positif;2018;''Sore ini jam 16.00, PPDB Jakarta, tahap1 jalur lokal SMAN sudah ditutup dan dinyatakan kandidatnya sdh di terima.\nKeren Proses Seleksinya.'
Positif;2018;''@anisakarsa @banten_prov Biasanya karena overload servernya, dan tenggang waktu akan diperpanjang, Jakarta juga dulu begitu....tp tahun ini sepertinya sudah bagus....utk PPDB'
Positif;2018;''Dari penjelasan ini, Pemda Jakarta berkomitmen setiap anak dapat imunisasi. Tapi Pemda jg nggak mau anak gagal sekolah krn blm imunisasi.\n\nOleh karena itu, PPDB jadi semacam screening riwayat #imunisasi calon murid.\n\nJalan tengah yg baik. https://t.co/45iGIljOXV'
Negatif;2019;''@jokowi PAK PRESIDEN TERBAIK SEUMUR HIDUPKU knp ya kok PPDB DKI Jakarta lain dgn seluruh provinsi lain  se-Indonesia? ga pake SISTEM ZONASI pak.... kasihan kan yg ga bisa sekolah  dinegri krn ga bs dpt kebijakan dari pak JOKOWI yaitu SEKOLAH  GRATIS.'
Negatif;2019;''@PPDBDKI1 knp ya kok PPDB DKI Jakarta lain dgn seluruh provinsi lain se-Indonesia... ga pake SISTEM ZONASI.... kasihan kan yg ga bisa sekolah dinegri krn ga bs dpt kebijakan dari pak JOKOWI yaitus SEKOLAH GRATIS....'
Negatif;2019;''@dianamidelaID @ppdbdki @Sutoyo77763066 @VINAorDUNUK @aniesbaswedan Kok sama ya rekapin hasil PPDB jakarta sejak bocahnya kls 7 hahaha'
Negatif;2019;''Ombudsman Sesalkan DKI Jakarta Tak Terapkan PPDB Zonasi, Ada Apa? https://t.co/mgcG25AXs5'
Negatif;2019;''Ombudsman Sesalkan DKI Jakarta Tak Terapkan PPDB Zonasi, Ada Apa? https://t.co/ywXDWI6ywi'
Negatif;2019;''Ombudsman Sesalkan DKI Jakarta Tak Terapkan PPDB Zonasi, Ada Apa? https://t.co/JDy5jkEbNY'
Negatif;2019;''Bagaimana merengking di PPDB Online DKI  Jakarta??? Koq seperti tidak memenuhi aturan?\n\nKeterangan Gambar\n\nNilai Inisial Siswa M.\n\nNilai Inisial Siswa A.\n\nSeleksi Tayang di Online\n:\n\n1. Inisial M tayang di... https://t.co/XSGUBJQpKN'
Negatif;2019;''Pindah Domisili Agar Lolos Sistem Zonasi PPDB di Jakarta Pasti Sia-sia https://t.co/ojz4zoUK2w'
Negatif;2019;''frustasi sm ppdb jakarta..'
Negatif;2019;''pak @jokowi , ppdb dki jakarta saat ini sedang sangat kacau, pak. saya mau sekolah'
Negatif;2019;''@PPDBDKI1 To admin maaf mau tanya mengenai sistem zonasi khususnya seleksi masuk ppdb SMAN jakarta barat itu berdasarkan jarak dr rumah ke selokah tujuan terdekat atau tetap grading seperti tahun sebelumnya by nilai tertinggi soalnya saya merasa sbg ortu murid sistem zonasi ttpby nilai'
Negatif;2019;''PPDB Jalur Zonasi SMA Jakarta Diwarnai Keluhan soal Waktu Pelayanan https://t.co/9W2DY3ltrt'
Negatif;2019;''Orang Tua Keluhkan Lamanya Proses PPDB Sistem Zonasi di Jakarta https://t.co/21JkVtnjYA https://t.co/uvtpuBuYBM'
Negatif;2019;''@Stargazzinxx #hapuskanzonasi\nTOLONG PAK NOTICE! BESOK PPDB JAKARTA DIBUKA DAN SAYA MAU ZONASI SUDAH DIHAPUS KALO PERLU PPDB ULANG! nilai saya bagus dan mati matian belajar dan keluarin banyak uang kl hasilnya zonk mending saya gausah sekolah pak. biar pendidikan indonesia makin BOBROK!!!!!!!!'
Negatif;2019;''Setiap Tahun ganti model PPDB, Saya Bingung dengan orang pandai yang ada di Jakarta. Mengapa selalu Dunia Pendidikan menjadi Uji Coba Sistem.\nAyo Kembali ke Bimbingan Ki Hajar Dewantoro'
Negatif;2019;''Orangtua Murid Nilai Sistem Zonasi PPDB 2019 Tidak Adil https://t.co/nz6yMp80IR lewat @Tribun_Jakarta'
Netral;2019;''Pengantaran Prakerin Jakarta dan Sekitarnya.\n.\nPPDB 2020/2021 telah dibuka !\n\nPendfataran :\nhttps://t.co/KeLoszQAsf\nWA 081 393 184748 https://t.co/7rokNx88Yk'
Netral;2019;''------------------------\nM36a\nSMP Muhammadiyah 36 Jakarta\nJl. Tebet Timur II No.35. Tebet Jakarta Selatan, Jakarta Selatan\n\nInformasi Penerimaan Peserta Didik Baru (PPDB) tahun pelajaran 2020/2021\nSMP Muh 36 : 021 829 5772, 0818144521\n#smpmuhammadiyah36\n#smpberkemajuan\n#M36a\n#smp https://t.co/2GTe5f31YM'
Netral;2019;''Besok, 19 Juni 2019, PPDB Madrasah DKI Jakarta Diumumkan - https://t.co/eyPa4pkeL3'
Netral;2019;''Kamu Punya Prestasi, Simak Cara Mendaftar PPDB 2019 DKI Jakarta Jalur Prestasi! - https://t.co/r3Ic7aE9wo'
Netral;2019;''Kamu Punya Prestasi, Simak Cara Mendaftar PPDB 2019 DKI Jakarta Jalur Prestasi! - https://t.co/r3Ic7aE9wo'
Netral;2019;''Ini Syarat Lengkap PPDB Online Jenjang SMP dan SMA 2019 di DKI Jakarta - https://t.co/eco06NU1ku'
Netral;2019;''Besok, 19 Juni 2019, PPDB Madrasah DKI Jakarta Diumumkan - https://t.co/eyPa4pkeL3'
