sentimen,tahun,teksbersih
Negatif,2018,jakarta penerapan sistem zonasi sekolah untuk penerimaan peserta didik baru ppdb masih berbuntut masalah di berbagai daerah sejumlah orangtua yang mendaftarkan anak anaknya kah
Negatif,2018,baru sampai di jakarta yang dipikirin ingin demo soal ppdb yang pakai sistem zona tidak ada hubungannya sama svt coba
Negatif,2018,jalur afirmasi di jakarta dibuktikan dengan rekening bank bahwa calon siswa penerima kjp membawa sktm dan bersaing nilai lagi antar penerima kjp yang ndaftar yang tersingkir bisa kah sekolah swasta yang masih terima siswa baru setelah pengumuman ppdb
Negatif,2018,pengumuman bangku kosong tahap umum jalur domisili daerah khusus ibukota jakarta tingkat sama tidak bisa diakses di ppdb online min kalau dari jadwal akan tanggal juli pukul wib tapi cari web ppdb tidak ada
Negatif,2018,ppdb akan dilakukan di banyak provinsi kenapa hanya jateng yang diulas jalur afirmasi kjp di jakarta juga ada di tahap tapi dibatasi maksimal orang per sekolah apa ini juga kesalahan prosedur
Negatif,2018,sama di ppdb online di jakarta juga begitu mas yang diterima di jalur afirmasi untuk penerima kjp nilainya kecil banget pada masuk sama favorit nem dibawah masuk smtr anakku lewat untuk jurusan dan sama yang sama
Negatif,2018,ibu ibu protes terkait rumitnya proses ppdb daerah khusus ibukota jakarta mereka mempertanyakan sosialisasi pendaftaran yang tidak jelas
Negatif,2018,ibu ibu protes terkait rumitnya proses ppdb daerah khusus ibukota jakarta mereka mempertanyakan sosialisasi pendaftaran yang tidak jelas
Negatif,2018,beberapa ibu ibu protes terkait rumitnya proses ppdb daerah khusus ibukota jakarta wali murid memprotes sosialisasi pendaftaran yang tidak jelas begini keluhannya
Negatif,2018,memperjuangkan nilai anak kami yang sebenarnya saja kami sudah kesulitan ditambah zonasi yang terbuka untuk wilayah jatinegara yang nyata jakarta timur dimana letak keadilan buat putra putri kami mohon pak ppdb online lokal telah tertutup tapi kami masih berharap
Negatif,2018,itu tadi pengalaman ppdb daerah khusus ibukota iya konon daerah lain lebih sehat prakteknya antara lain mengukur jarak dari alamat sesuai kakak kah sekolah sementara pertimbangan daerah khusus ibukota hanya angka dan usia perlu sekali belajar kah praktek ppdb di luar jakarta
Negatif,2018,bagaimana ini nilai un kali revisi ppdb online disii oleh jakarta timur sebetulnya zona lokal jakarta selatan apakah meliputi jakarta timur juga
Negatif,2018,di smk jakarta yang terdaftar di ppdb online dibeberapa jurusan tercantum syarat tinggi badan salah satu contohnya untuk jurusan bisnis daring dan pemasaran sayang saja jika kita ada kesempatan untuk masuk di jurusan itu tapi terkendala oleh tinggi badan
Negatif,2018,pak mohon dievaluasi tentang sistem ppdb smp daerah khusus ibukota kita sebagai warga daerah khusus ibukota yang sekolah di daerah khusus ibukota khususnya jakarta selatan merasa tidak fair melihat kondisi pendaftar yang sekolah dari luar daerah khusus ibukota bisa mengikuti seleksi melihat kondisi hasil usbn daerah khusus ibukota secara keseluruhan nilainya
Negatif,2018,pak mohon dievaluasi tentang sistem ppdb smp daerah khusus ibukota kita sebagai warga daerah khusus ibukota yang sekolah di daerah khusus ibukota khususnya jakarta selatan merasa tidak fair melihat kondisi pendaftar yang sekolah dari luar daerah khusus ibukota bisa mengikuti seleksi melihat kondisi hasil usbn daerah khusus ibukota secara keseluruhan nilainya
Negatif,2018,pak mohon dievaluasi tentang sistem ppdb smp daerah khusus ibukota kita sebagai warga daerah khusus ibukota yang sekolah di daerah khusus ibukota khususnya jakarta selatan merasa tidak fair melihat kondisi pendaftar yang sekolah dari luar daerah khusus ibukota bisa mengikuti seleksi melihat kondisi hasil usbn daerah khusus ibukota secara keseluruhan nilainya
Negatif,2018,pendaftaran ppdb bikin bingung ini kata kepala sekolah sman jakarta
Negatif,2018,jika jarak menjadi komponen yang dihitung dalam ppdb daerah khusus ibukota tentu siswa luar daerah khusus ibukota tidak berbondong mendaftar kah sama fav yang letaknya di tengah kota jakarta selama ini hanya nilai tinggi yang jadi menentu walau rumah mereka di papua sekalipun
