tahun;text
2018;'Cara Pendaftaran dan Pengumuman Hasil Seleksi PPDB Online SMA SMK DKI Jakarta\xc2\xa02019/2020 https://t.co/jf6GWVD4E4 https://t.co/cS9bbTSWRX'
2018;'Come and join us... \n\nPPDB SMK Telkom Jakarta. \n\nSMK Telkom Jakarta\nSekolah yang keren,  \n\nKami Menerapkan Budaya REDI_CCP (Character,  Content,  Process)  berbasis 4R  ---&gt Olah Raga,\xe2\x80\xa6 https://t.co/sS8rXSTYR8'
2018;'Info pendaftaran PPDB SMK Telkom Jakarta TA 2019-2020\n\nUntuk keterangan lebih lanjut, silahkan hubungi petugas PPDB kami di nomor 08-111-44-2600 atau nomor 021-544 2600\n\nProsedur pendaftaran :\nAkses manual \xe2\x80\xa6 Datang... https://t.co/eOSUwJoy7s'
2018;'Radar Bogor : Catat, Ini Rekomendasi Ombudsman Terhadap Pelaksanaan PPDB JAKARTA-RADAR BOGOR,   https://t.co/X7rPlO9Xnf'
2018;'Hii, doain aku supaya aku keterima ppdb di SMAN 6 Jakarta. \xe2\x80\x94 amin smg bisa https://t.co/kOeTfA9ePf'
2018;'Radar Bogor : Sistem Zonasi PPDB untuk Pemerataan Pendidikan JAKARTA-RADAR BOGOR, Anggapan sek  https://t.co/yOMsxgpK0h'
2018;'Hari ini (26/7) Ombudsman RI @OmbudsmanRI137 menyampaikan hasil pemantauan PPDB 2018 kepada sekjen @Kemdikbud_RI dan pejabat @Kemenag_RI di kantor Ombudsman Jakarta https://t.co/NxVNbspcEI'
2018;'Ombudsman RI Perwakilan Jakarta Raya menemukan adanya praktik penerimaan siswa tanpa melalui PPDB online tetapi karena titipan pejabat. https://t.co/g1gamheJDE'
2018;"'Tak Lulus PPDB ""Online"", 600 Siswa Kurang Mampu di Bekasi ...: * Tak Lulus PPDB ""Online"", 600 Siswa Kurang Mampu di Bekasi ...\xc2\xa0\xc2\xa0https://t.co/aGphJDcW8n * Disdik Akomodir 600 Siswa Tak Mampu yang Gagal PPDB Online ...\xc2\xa0\xc2\xa0Tribun Jakarta * Diperiksa Ombudsman\xe2\x80\xa6 https://t.co/i2uGCiDpCE https://t.co/xkDawKTmIE'"
2018;"'Disdik Akomodir 600 Siswa Tak Mampu yang Gagal PPDB Online ...: * Disdik Akomodir 600 Siswa Tak Mampu yang Gagal PPDB Online ...\xc2\xa0\xc2\xa0Tribun Jakarta * Diperiksa Ombudsman RI, Disdik Jabar Akui Banyak Siswa Titipan ...\xc2\xa0\xc2\xa0Warta Kota * Tak Lulus PPDB ""Online"",\xe2\x80\xa6 https://t.co/HaUxtybldy https://t.co/CxUyWg1Anm'"
2018;'Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB Batal https://t.co/PRFuysYKkb https://t.co/qrNtW0AF0J'
2018;'Akhirnya Batal Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB  https://t.co/wVcqHrUZh3'
2018;'beja terkini Bewara:  Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB Batal https://t.co/DUH3Gkv9oF . Thx 4 click thx 4 click https://t.co/gcv13X7989'
2018;'Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB Batal https://t.co/YP5MDddRKC https://t.co/oQqFKTbuxY'
2018;'Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB Batal: PENDIDIKAN Demo/ADE BAYU INDRA/PR ORANG tua calon siswa yang tergabung dalam Forum Masyarakat Peduli Pendidikan se-Jabar melakukan aksi unjuk rasa, di depan Gedung Sate, Jalan\xe2\x80\xa6 https://t.co/aguSHcbMTC https://t.co/6iVQa6gEMs'
2018;'Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB Batal: PENDIDIKAN Demo/ADE BAYU INDRA/PR ORANG tua calon siswa yang tergabung dalam Forum Masyarakat Peduli Pendidikan se-Jabar melakukan aksi unjuk rasa, di depan Gedung Sate, Jalan\xe2\x80\xa6 https://t.co/HrDkwx5Gqa https://t.co/R1VQq1Ldxi'
2018;'Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB Batal https://t.co/c04yhh0Tpa https://t.co/6KFfdpwuk1'
2018;'Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB Batal https://t.co/L9f0yyFX9q'
2018;'Aksi Orangtua Jalan Kaki Bandung-Jakarta Protes Sistem Zonasi PPDB Batal https://t.co/WTkyKxzZez #aboutBDG'
