Value;Tahun;Komentar
Negatif;2018;Jakarta, https://t.co/516ZUjmY93 -- Penerapan sistem zonasi sekolah untuk Penerimaan Peserta Didik Baru (PPDB) masih berbuntut masalah di berbagai daerah. Sejumlah orangtua yang mendaftarkan anak-anaknya ke... https://t.co/4KySlz57AD'
Negatif;2018;"'@caratstalk Baru sampe di jakarta, yg dipikirin \'pengen demo, soal ppdb yg pake sistem zona\'\n\nga ada hubungannya sama svt coba:""'"
Negatif;2018;'@Ternoda_ @GisellaCik Jalur afirmasi di Jakarta dibuktikan dengan rekening bank bahwa calon siswa penerima KJP, Membawa SKTM, dan bersaing nilai lagi antar penerima KJP yg ndaftar. Yg tersingkir? bisa ke sekolah swasta yg masih terima siswa baru setelah pengumuman PPDB.'
Negatif;2018;'@SIAPonline Pengumuman bangku kosong Tahap 3 umum Jalur Domisili DKI Jakarta, tingkat SMA ga bisa diakses di PPDB online min?\nKlau dr jadwal kan tgl 6 Juli 2018 pukul 18:00 WIB. Tapi cari  web PPDB ga ada?'
Negatif;2018;'@PartaiSocmed PPDB kan dilakukan di byk provinsi, kenapa hanya jateng yg diulas. Jalur afirmasi (kjp) di jakarta jg ada di tahap 2 tp dibatasi maksimal 10 org per sekolah. Apa ini jg kesalahan prosedur?'
Negatif;2018;'@al_fauzannn @PartaiSocmed @ganjarpranowo Sama..di PPDB online di Jakarta jg gitu mas...yg diterima di jalur afirmasi utk penerima KJP nilainya kecil2 amat..pada masuk sma favorit...nem dibawah 240 masuk smtr anakku 308..lewat..utk jurusan dan sma yg sama.'
Negatif;2018;'https://t.co/aiS1zn01RI\n\nBeberapa ibu-ibu protes terkait rumitnya proses PPDB DKI Jakarta. Mereka mempertanyakan sosialisasi pendaftaran yang tidak jelas.'
Negatif;2018;'https://t.co/G3480kCxuE\n\nBeberapa ibu-ibu protes terkait rumitnya proses PPDB DKI Jakarta. Mereka mempertanyakan sosialisasi pendaftaran yang tidak jelas.'
Negatif;2018;'Beberapa ibu-ibu protes terkait rumitnya proses PPDB DKI Jakarta. Wali murid memprotes sosialisasi pendaftaran yang tidak jelas. Begini keluhannya:\n\nhttps://t.co/PfRmONS2OK'
Negatif;2018;'@Itjen_Kemdikbud Memperjuangkan nilai anak kami yg sebenarnya saja kami sudah kesulitan.  Ditambah zonasi yg terbuka utk wilayah jatinegara yg nyata2 jakarta timur ... dimana letak keadilan buat putra/putri kami. Mohon Pak ... PPDB online lokal telah tertutup. Tapi kami masih berharap'
Negatif;2018;'Itu tadi pengalaman PPDB DKI ya. Konon daerah lain lebih sehat prakteknya, antara lain mengukur jarak dari alamat sesuai KK ke sekolah. Sementara pertimbangan DKI hanya angka dan usia. Perlu sekali belajar ke praktek PPDB di luar Jakarta.'
Negatif;2018;'@Itjen_Kemdikbud Bagaimana ini .. niali UN 3 kali revisi. PPDB online disii oleh Jakarta Timur. Sebetulnya zona lokal Jakarta selatan apakah meliputi jakarta timur juga'
Negatif;2018;'@Kemdikbud_RI @ditpsmk @Itjen_Kemdikbud @DikdasmenDikbud Di SMK Jakarta yg terdaftar di PPDB online. Dibeberapa jurusan tercantum syarat tinggi badan. Salah satu contohnya utk jurusan Bisnis Daring dan Pemasaran. Sayang saja, jika kita ada kesempatan utk masuk di jurusan itu tapi terkendala oleh tinggi badan.'
Negatif;2018;'@SIAPonline Pak Mohon dievaluasi tentang sistem PPDB SMP N DKI,  kita sebagai warga DKI yg sekolah di DKI khususnya jakarta selatan merasa tidak fair melihat kondisi pendaftar  yang sekolah dari luar dki bisa mengikuti seleksi,  melihat kondisi hasil usbn 2018 dki secara keseluruhan nilainya'
Negatif;2018;'@Kemdikbud_RI Pak Mohon dievaluasi tentang sistem PPDB SMP N DKI,  kita sebagai warga DKI yg sekolah di DKI khususnya jakarta selatan merasa tidak fair melihat kondisi pendaftar  yang sekolah dari luar dki bisa mengikuti seleksi,  melihat kondisi hasil usbn 2018 dki secara keseluruhan nilainya'
Negatif;2018;'@Kemdikbud_RI @habibiecenter Pak Mohon dievaluasi tentang sistem PPDB SMP N DKI,  kita sebagai warga DKI yg sekolah di DKI khususnya jakarta selatan merasa tidak fair melihat kondisi pendaftar  yang sekolah dari luar dki bisa mengikuti seleksi,  melihat kondisi hasil usbn 2018dki secara keseluruhan nilainya'
Negatif;2018;'Pendaftaran PPDB Bikin Bingung, Ini Kata Kepsek SMAN 8 Jakarta https://t.co/2jml0YWZm0'
