"nm_prov","nm_kota","nm_kec","nm_desa","nm_dapil","bsndslhn","kwooarmn"
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,AIR GEGAS,KEPULAUAN BANGKA BELITUNG,985,1555
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,DELAS,KEPULAUAN BANGKA BELITUNG,1769,870
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,PERGAM,KEPULAUAN BANGKA BELITUNG,486,935
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,BENCAH,KEPULAUAN BANGKA BELITUNG,1677,1862
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,NYELANDING,KEPULAUAN BANGKA BELITUNG,1069,1663
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,NANGKA,KEPULAUAN BANGKA BELITUNG,764,951
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,RANGGAS,KEPULAUAN BANGKA BELITUNG,860,1210
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,AIR BARA,KEPULAUAN BANGKA BELITUNG,1023,1131
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,SIDOHARJO,KEPULAUAN BANGKA BELITUNG,376,1863
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,AIR GEGAS,TEPUS,KEPULAUAN BANGKA BELITUNG,356,1512
KEPULAUAN BANGKA BELITUNG,BELITUNG,BADAU,BADAU,KEPULAUAN BANGKA BELITUNG,555,1700
KEPULAUAN BANGKA BELITUNG,BELITUNG,BADAU,AIR BATU BUDING,KEPULAUAN BANGKA BELITUNG,214,691
KEPULAUAN BANGKA BELITUNG,BELITUNG,BADAU,SUNGAI SAMAK,KEPULAUAN BANGKA BELITUNG,201,1219
KEPULAUAN BANGKA BELITUNG,BELITUNG,BADAU,KACANG BUTOR,KEPULAUAN BANGKA BELITUNG,380,1280
KEPULAUAN BANGKA BELITUNG,BELITUNG,BADAU,CERUCUK,KEPULAUAN BANGKA BELITUNG,287,1008
KEPULAUAN BANGKA BELITUNG,BELITUNG,BADAU,PEGANTUNGAN,KEPULAUAN BANGKA BELITUNG,199,932
